Date,User ID,Registration Source,Subscription Status,Subscription Start Date,Subscription End Date,Number of Active Widgets,Number of Widget Interactions,Time Spent on Platform,Location
2023-05-24,U00001,Organic,Monthly,2023-06-02,,7,1232,246,Brazil
2023-02-28,U00002,Referral,Monthly,2023-03-10,,4,148,284,UK
2023-10-31,U00003,Social Media,Inactive,2023-11-04,2023-12-01,0,0,305,UK
2023-09-17,U00004,PPC,Monthly,2023-09-26,,5,1725,337,UK
2023-09-04,U00005,Organic,Inactive,2023-09-05,2023-10-28,0,0,409,Germany
2023-07-23,U00006,Organic,Free Trial,2023-07-27,,9,4113,67,UK
2023-03-06,U00007,Organic,Annual,2023-03-19,,6,1584,1495,Germany
2023-01-29,U00008,Social Media,Inactive,2023-02-09,2023-02-27,0,0,27,France
2023-07-22,U00009,PPC,Free Trial,2023-07-30,,3,150,45,France
2023-07-21,U00010,Social Media,Monthly,2023-07-25,,4,152,417,Brazil
2023-01-25,U00011,Organic,Free Trial,2023-02-05,,9,2592,138,France
2023-10-31,U00012,Referral,Annual,2023-11-10,,6,2868,1193,Germany
2023-08-19,U00013,Social Media,Monthly,2023-08-22,,4,356,73,Germany
2023-06-23,U00014,Organic,Monthly,2023-07-04,,1,60,71,USA
2023-06-02,U00015,Organic,Free Trial,2023-06-16,,8,968,375,UK
2023-07-26,U00016,Organic,Free Trial,2023-07-28,,2,740,429,India
2023-02-21,U00017,Organic,Free Trial,2023-03-05,,8,2480,340,India
2023-02-05,U00018,PPC,Monthly,2023-02-06,,6,594,155,UK
2023-11-08,U00019,PPC,Monthly,2023-11-21,,8,1904,281,India
2023-11-25,U00020,Organic,Inactive,2023-11-28,2024-01-03,0,0,26,India
2023-08-10,U00021,PPC,Monthly,2023-08-23,,5,1260,289,India
2023-09-06,U00022,Organic,Monthly,2023-09-18,,5,735,107,Brazil
2023-07-18,U00023,Organic,Inactive,2023-07-29,2023-09-07,0,0,461,Germany
2023-01-25,U00024,Organic,Annual,2023-02-08,,7,3262,809,Germany
2023-07-05,U00025,PPC,Inactive,2023-07-18,2023-08-05,0,0,472,Germany
2023-04-12,U00026,Social Media,Monthly,2023-04-20,,8,192,395,UK
2023-10-10,U00027,Organic,Free Trial,2023-10-24,,7,2394,252,France
2023-02-02,U00028,PPC,Free Trial,2023-02-05,,2,742,488,Brazil
2023-07-02,U00029,PPC,Annual,2023-07-14,,9,1647,1232,Brazil
2023-02-01,U00030,Organic,Free Trial,2023-02-09,,7,693,403,India
2023-07-11,U00031,PPC,Monthly,2023-07-22,,6,1332,446,USA
2023-08-01,U00032,Organic,Monthly,2023-08-13,,9,3168,482,Germany
2023-02-24,U00033,Organic,Monthly,2023-03-07,,1,70,188,Brazil
2023-01-28,U00034,Referral,Monthly,2023-02-07,,2,746,462,Brazil
2023-03-11,U00035,Referral,Free Trial,2023-03-14,,1,229,279,USA
2023-10-05,U00036,Social Media,Monthly,2023-10-09,,3,210,243,India
2022-12-31,U00037,Organic,Monthly,2023-01-04,,5,1580,121,Brazil
2023-07-14,U00038,Organic,Inactive,2023-07-27,2023-09-16,0,0,495,Brazil
2023-09-27,U00039,PPC,Annual,2023-09-28,,4,84,1120,France
2023-09-24,U00040,PPC,Inactive,2023-10-01,2023-11-16,0,0,75,USA
2023-11-26,U00041,Organic,Annual,2023-11-27,,6,516,1185,India
2023-03-16,U00042,PPC,Monthly,2023-03-17,,1,241,358,India
2023-10-20,U00043,Organic,Free Trial,2023-10-29,,1,121,446,Germany
2023-07-23,U00044,Referral,Monthly,2023-07-25,,3,225,254,France
2023-04-03,U00045,Organic,Monthly,2023-04-05,,8,1528,254,India
2023-06-24,U00046,PPC,Monthly,2023-07-08,,8,3456,477,France
2023-10-04,U00047,Organic,Monthly,2023-10-13,,3,639,457,Germany
2023-04-29,U00048,PPC,Monthly,2023-05-13,,7,3024,81,USA
2023-05-02,U00049,PPC,Monthly,2023-05-08,,3,1140,366,Brazil
2023-10-12,U00050,Organic,Monthly,2023-10-16,,4,860,58,Brazil
2023-08-22,U00051,Referral,Free Trial,2023-08-31,,9,2655,355,UK
2023-09-24,U00052,Social Media,Inactive,2023-10-03,2023-11-21,0,0,199,UK
2023-10-27,U00053,Referral,Free Trial,2023-11-10,,3,753,302,UK
2023-06-14,U00054,Social Media,Free Trial,2023-06-28,,5,1220,186,Brazil
2023-03-13,U00055,PPC,Monthly,2023-03-18,,7,1295,461,France
2023-12-05,U00056,Referral,Monthly,2023-12-13,,5,1100,170,UK
2023-07-27,U00057,Organic,Monthly,2023-08-05,,4,160,159,USA
2023-09-15,U00058,Organic,Free Trial,2023-09-26,,8,1952,79,India
2023-01-16,U00059,Organic,Monthly,2023-01-17,,4,1004,42,France
2023-10-22,U00060,Organic,Monthly,2023-10-28,,2,324,293,Brazil
2023-06-01,U00061,Organic,Inactive,2023-06-08,2023-08-03,0,0,353,USA
2023-08-19,U00062,Organic,Inactive,2023-08-29,2023-09-15,0,0,269,Brazil
2023-09-29,U00063,Social Media,Monthly,2023-10-11,,3,834,331,France
2023-04-06,U00064,Organic,Monthly,2023-04-12,,1,493,86,France
2023-05-19,U00065,Organic,Annual,2023-06-01,,5,2280,1713,France
2023-01-09,U00066,PPC,Free Trial,2023-01-15,,9,3537,314,Germany
2023-06-08,U00067,Organic,Monthly,2023-06-16,,2,358,393,India
2023-06-07,U00068,Social Media,Monthly,2023-06-12,,7,3129,148,UK
2023-02-27,U00069,Organic,Inactive,2023-03-06,2023-04-26,0,0,44,Germany
2023-01-07,U00070,Referral,Free Trial,2023-01-09,,2,664,432,India
2023-12-08,U00071,Social Media,Monthly,2023-12-20,,8,2760,403,Brazil
2023-01-21,U00072,Organic,Annual,2023-01-25,,6,2898,1534,UK
2023-01-31,U00073,Organic,Monthly,2023-02-01,,4,964,339,Germany
2023-08-14,U00074,Social Media,Free Trial,2023-08-19,,4,772,209,Germany
2023-04-15,U00075,Social Media,Inactive,2023-04-25,2023-06-11,0,0,334,USA
2023-02-09,U00076,Social Media,Monthly,2023-02-23,,3,852,160,Germany
2023-04-13,U00077,Social Media,Monthly,2023-04-16,,7,3073,43,France
2023-01-06,U00078,Organic,Free Trial,2023-01-14,,3,1224,133,Brazil
2023-08-17,U00079,Organic,Monthly,2023-08-29,,5,205,376,Germany
2023-12-04,U00080,Organic,Monthly,2023-12-16,,6,1116,41,France
2023-04-13,U00081,Social Media,Free Trial,2023-04-23,,6,2484,281,India
2023-08-04,U00082,PPC,Free Trial,2023-08-11,,4,296,333,India
2023-05-20,U00083,Organic,Inactive,2023-05-23,2023-06-25,0,0,319,France
2023-12-13,U00084,Organic,Free Trial,2023-12-20,,3,108,133,USA
2023-04-28,U00085,Organic,Free Trial,2023-05-01,,7,1120,421,USA
2023-03-10,U00086,Organic,Monthly,2023-03-22,,7,2184,377,India
2023-03-29,U00087,Social Media,Annual,2023-03-31,,4,1952,1343,Brazil
2023-01-28,U00088,PPC,Free Trial,2023-02-06,,2,554,87,Germany
2023-07-18,U00089,Social Media,Monthly,2023-07-27,,7,658,85,India
2023-04-26,U00090,PPC,Free Trial,2023-05-04,,3,225,69,India
2023-09-11,U00091,Organic,Free Trial,2023-09-12,,1,142,94,France
2023-10-14,U00092,Social Media,Free Trial,2023-10-23,,2,804,377,USA
2023-08-09,U00093,Social Media,Inactive,2023-08-13,2023-10-03,0,0,89,Brazil
2023-04-27,U00094,PPC,Free Trial,2023-04-28,,8,3000,383,France
2023-04-14,U00095,Social Media,Free Trial,2023-04-21,,6,546,181,India
2023-02-10,U00096,PPC,Monthly,2023-02-20,,6,2340,267,UK
2023-01-09,U00097,PPC,Inactive,2023-01-17,2023-03-01,0,0,288,Germany
2023-07-30,U00098,PPC,Free Trial,2023-08-07,,2,958,230,India
2023-11-25,U00099,Organic,Monthly,2023-11-27,,4,1348,55,France
2023-10-29,U00100,Organic,Free Trial,2023-11-08,,3,321,82,UK
2023-12-04,U00101,Organic,Monthly,2023-12-16,,1,82,63,UK
2023-11-15,U00102,PPC,Monthly,2023-11-18,,8,2688,336,India
2023-05-24,U00103,Organic,Monthly,2023-05-26,,7,273,230,Brazil
2023-08-27,U00104,PPC,Monthly,2023-09-08,,4,536,390,USA
2023-02-01,U00105,Referral,Monthly,2023-02-08,,9,1971,346,UK
2023-09-01,U00106,Organic,Free Trial,2023-09-07,,4,1936,18,Germany
2023-12-21,U00107,PPC,Monthly,2023-12-23,,1,281,335,France
2023-12-25,U00108,Social Media,Free Trial,2024-01-04,,1,222,181,France
2023-11-09,U00109,Organic,Annual,2023-11-18,,1,142,965,France
2023-11-24,U00110,Organic,Inactive,2023-12-01,2023-12-30,0,0,339,India
2023-03-27,U00111,Organic,Inactive,2023-04-03,2023-05-26,0,0,338,France
2023-06-22,U00112,Organic,Inactive,2023-06-29,2023-08-12,0,0,21,France
2023-06-24,U00113,Referral,Monthly,2023-07-05,,2,744,490,Germany
2023-10-16,U00114,Social Media,Annual,2023-10-17,,4,1564,1808,USA
